,file_path,label
0,E:\Datasets\genres\blues\blues.00000.wav,0
1,E:\Datasets\genres\blues\blues.00001.wav,0
2,E:\Datasets\genres\blues\blues.00002.wav,0
3,E:\Datasets\genres\blues\blues.00003.wav,0
4,E:\Datasets\genres\blues\blues.00004.wav,0
5,E:\Datasets\genres\blues\blues.00005.wav,0
6,E:\Datasets\genres\blues\blues.00006.wav,0
7,E:\Datasets\genres\blues\blues.00007.wav,0
8,E:\Datasets\genres\blues\blues.00008.wav,0
9,E:\Datasets\genres\blues\blues.00009.wav,0
10,E:\Datasets\genres\blues\blues.00010.wav,0
11,E:\Datasets\genres\blues\blues.00011.wav,0
12,E:\Datasets\genres\blues\blues.00012.wav,0
13,E:\Datasets\genres\blues\blues.00013.wav,0
14,E:\Datasets\genres\blues\blues.00014.wav,0
15,E:\Datasets\genres\blues\blues.00015.wav,0
16,E:\Datasets\genres\blues\blues.00016.wav,0
17,E:\Datasets\genres\blues\blues.00017.wav,0
18,E:\Datasets\genres\blues\blues.00018.wav,0
19,E:\Datasets\genres\blues\blues.00019.wav,0
20,E:\Datasets\genres\blues\blues.00020.wav,0
21,E:\Datasets\genres\blues\blues.00021.wav,0
22,E:\Datasets\genres\blues\blues.00022.wav,0
23,E:\Datasets\genres\blues\blues.00023.wav,0
24,E:\Datasets\genres\blues\blues.00024.wav,0
25,E:\Datasets\genres\blues\blues.00025.wav,0
26,E:\Datasets\genres\blues\blues.00026.wav,0
27,E:\Datasets\genres\blues\blues.00027.wav,0
28,E:\Datasets\genres\blues\blues.00028.wav,0
29,E:\Datasets\genres\blues\blues.00029.wav,0
30,E:\Datasets\genres\blues\blues.00030.wav,0
31,E:\Datasets\genres\blues\blues.00031.wav,0
32,E:\Datasets\genres\blues\blues.00032.wav,0
33,E:\Datasets\genres\blues\blues.00033.wav,0
34,E:\Datasets\genres\blues\blues.00034.wav,0
35,E:\Datasets\genres\blues\blues.00035.wav,0
36,E:\Datasets\genres\blues\blues.00036.wav,0
37,E:\Datasets\genres\blues\blues.00037.wav,0
38,E:\Datasets\genres\blues\blues.00038.wav,0
39,E:\Datasets\genres\blues\blues.00039.wav,0
40,E:\Datasets\genres\blues\blues.00040.wav,0
41,E:\Datasets\genres\blues\blues.00041.wav,0
42,E:\Datasets\genres\blues\blues.00042.wav,0
43,E:\Datasets\genres\blues\blues.00043.wav,0
44,E:\Datasets\genres\blues\blues.00044.wav,0
45,E:\Datasets\genres\blues\blues.00045.wav,0
46,E:\Datasets\genres\blues\blues.00046.wav,0
47,E:\Datasets\genres\blues\blues.00047.wav,0
48,E:\Datasets\genres\blues\blues.00048.wav,0
49,E:\Datasets\genres\blues\blues.00049.wav,0
50,E:\Datasets\genres\blues\blues.00050.wav,0
51,E:\Datasets\genres\blues\blues.00051.wav,0
52,E:\Datasets\genres\blues\blues.00052.wav,0
53,E:\Datasets\genres\blues\blues.00053.wav,0
54,E:\Datasets\genres\blues\blues.00054.wav,0
55,E:\Datasets\genres\blues\blues.00055.wav,0
56,E:\Datasets\genres\blues\blues.00056.wav,0
57,E:\Datasets\genres\blues\blues.00057.wav,0
58,E:\Datasets\genres\blues\blues.00058.wav,0
59,E:\Datasets\genres\blues\blues.00059.wav,0
60,E:\Datasets\genres\blues\blues.00060.wav,0
61,E:\Datasets\genres\blues\blues.00061.wav,0
62,E:\Datasets\genres\blues\blues.00062.wav,0
63,E:\Datasets\genres\blues\blues.00063.wav,0
64,E:\Datasets\genres\blues\blues.00064.wav,0
65,E:\Datasets\genres\blues\blues.00065.wav,0
66,E:\Datasets\genres\blues\blues.00066.wav,0
67,E:\Datasets\genres\blues\blues.00067.wav,0
